movie_id,title,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,genres
8422,Rocco and His Brothers,1960-10-07,0,0,178,7.99,639,1.3504,"['Drama', 'Romance']"
8587,The Lion King,1994-06-15,45000000,763455561,89,8.256,19231,16.7754,"['Family', 'Animation', 'Drama', 'Adventure']"
8871,How the Grinch Stole Christmas,2000-11-17,123000000,345800000,105,6.782,8071,46.2896,"['Family', 'Comedy', 'Fantasy']"
8966,Twilight,2008-11-20,37000000,393616788,122,6.283,14134,16.7942,"['Fantasy', 'Drama', 'Romance']"
9277,The Sting,1973-12-25,5500000,159616327,129,8.022,2824,4.6131,"['Comedy', 'Crime', 'Drama']"
9323,Ghost in the Shell,1995-11-18,3000000,10000000,83,7.923,3708,6.2474,"['Action', 'Animation', 'Science Fiction']"
9360,Anaconda,1997-04-11,45000000,136885767,90,5.253,2678,13.486,"['Adventure', 'Horror', 'Thriller']"
9479,The Nightmare Before Christmas,1993-10-29,18000000,75634409,76,7.833,10080,13.2085,"['Fantasy', 'Animation', 'Family']"
9502,Kung Fu Panda,2008-06-04,130000000,632091832,90,7.311,12261,14.6403,"['Animation', 'Family', 'Comedy', 'Action', 'Adventure']"
9702,Bound by Honor,1993-02-05,35000000,4500000,180,8.137,1468,8.5178,"['Crime', 'Action', 'Drama', 'Thriller']"
9714,Home Alone 3,1997-12-12,32000000,79082515,102,5.277,3188,20.7354,"['Comedy', 'Family']"
9764,Dersu Uzala,1975-08-02,4000000,0,141,7.916,596,2.2247,"['Adventure', 'Drama']"
9928,Robots,2005-03-10,75000000,262511490,90,6.476,4796,16.9937,"['Animation', 'Comedy', 'Family', 'Science Fiction']"
10098,The Kid,1921-01-21,250000,5450000,68,8.1,2279,2.6259,"['Comedy', 'Drama']"
10138,Iron Man 2,2010-04-28,200000000,623933331,124,6.849,21924,17.0729,"['Adventure', 'Action', 'Science Fiction']"
10191,How to Train Your Dragon,2010-03-18,165000000,495141736,98,7.9,13961,15.646,"['Fantasy', 'Adventure', 'Animation', 'Family']"
10192,Shrek Forever After,2010-05-20,165000000,752600867,93,6.392,7757,24.9829,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']"
10195,Thor,2011-04-21,150000000,449326618,115,6.768,21951,13.406,"['Adventure', 'Fantasy', 'Action']"
10238,Cries and Whispers,1972-12-21,400000,0,95,7.887,752,1.2105,['Drama']
10242,What Ever Happened to Baby Jane?,1962-10-31,980000,0,135,7.903,1118,2.3863,"['Thriller', 'Drama', 'Horror']"
10376,The Legend of 1900,1998-10-28,9000000,21057208,170,8.246,2376,3.8147,"['Drama', 'Music']"
