movie_id,title,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Mystery,Genre_Romance,Genre_ScienceFiction,Genre_Thriller,Genre_War,Genre_Western
289,Casablanca,1943-01-15,878000,10462500,103,8.144,5843,7.2883,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
307,"Rome, Open City",1945-10-08,20000,1000000,103,8.02,952,3.6152,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
311,Once Upon a Time in America,1984-05-23,30000000,5500000,229,8.396,5824,10.5082,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
329,Jurassic Park,1993-06-11,63000000,920100000,127,7.964,17352,8.6771,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
335,Once Upon a Time in the West,1968-12-21,5000000,5380118,166,8.3,4714,8.5965,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
346,Seven Samurai,1954-04-26,2000000,105000000,207,8.452,4062,8.932,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
348,Alien,1979-05-25,11000000,104931801,117,8.167,15849,17.238,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
387,Das Boot,1981-09-17,14000000,85000000,150,8.084,2400,4.5137,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
389,12 Angry Men,1957-04-10,397751,4360000,97,8.549,9614,10.0581,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
393,Kill Bill: Vol. 2,2004-04-16,30000000,152159461,136,7.875,14668,11.6263,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
406,La Haine,1995-05-31,2600000,15300000,98,8.083,4380,6.0774,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,180000000,745013115,143,7.137,11218,25.5046,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
423,The Pianist,2002-09-17,35000000,120098945,150,8.379,9817,9.0227,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
424,Schindler's List,1993-12-15,22000000,321365567,195,8.565,16945,14.0758,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
426,Vertigo,1958-05-09,2479000,7808900,128,8.2,6138,5.1581,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
429,"The Good, the Bad and the Ugly",1966-12-22,1200000,38900000,161,8.466,9306,13.2686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
453,A Beautiful Mind,2001-12-14,58000000,316791257,135,7.856,10767,9.2131,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
489,Good Will Hunting,1997-12-05,10000000,225900000,127,8.157,13360,13.6423,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
490,The Seventh Seal,1957-02-16,150000,311212,96,8.164,3229,5.9249,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
497,The Green Mile,1999-12-10,60000000,286801374,189,8.503,18661,19.7207,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
500,Reservoir Dogs,1992-09-02,1200000,2859750,99,8.117,15024,8.7078,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
508,Love Actually,2003-09-07,40000000,250779876,135,7.095,7197,17.3015,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
510,One Flew Over the Cuckoo's Nest,1975-11-19,3000000,108981275,133,8.412,11095,7.7065,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
521,Dial M for Murder,1954-05-29,1400000,3000000,105,8.0,2767,2.8505,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
524,Casino,1995-11-22,50000000,116112375,179,7.992,6305,8.3775,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
539,Psycho,1960-09-08,806947,50048065,109,8.421,10690,11.4072,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
548,Rashomon,1950-08-26,250000,117668,88,8.047,2428,3.2733,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
550,Fight Club,1999-10-15,63000000,100853753,139,8.438,31160,28.5771,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
